objectid, id, Name, Status, BldSz_Orig, BldSz_Curr, Has_Cave, CaveSize, Prod_Orig, Prod_Curr, Tour_Tastg, Visit_Day, Visit_Week, Visit_Yr, Visit_Mktg, Visit_NmEv, Visit_ALL, EmplyeeNum, ParkingNum, WDO, Last_UP, In_CityBdy, In_AIASP, Notes, SmlWnryExm, Apprv_date, Estab_date, Total_Size, Subj_to_75, GPY_at_75, AVA, SUP_dist
37, 56, BREMER FAMILY WINERY, PROD, 6780, 6780, x, 16136, 15000, 15000, APPT, 1, 6, 312, 0, 0, 312, 2, 9, x, P09-00178, null, null, null, null, 08/15/1979, 09/01/1979, 22916, null, 0, Napa Valley, 3
38, 244, TUDAL WINERY, PROD, 1248, 1248, null, 0, 1000, 3500, APPT, 0, 0, 0, 0, 0, 0, 0, 5, x, U-47879, null, null, null, null, 11/01/1975, 09/01/1979, 1248, null, 0, St Helena, 3
39, 180, ROMBAUER VINEYARDS, PROD, 10000, 46610, x, 26340, 20000, 450000, APPT, 400, 2000, 104000, 2300, 51, 106300, 18, 26, x, P10-00039-UP, null, null, null, null, 05/01/1982, 12/01/1982, 72950, x, 450000, St Helena, 3
40, 34, CHATEAU BOSWELL, PROD, 7200, 7200, x, 10860, 48000, 48000, PUB, 30, 210, 10920, 0, 0, 10920, 4, 10, x, P08-00440, null, null, null, null, 12/09/1980, 09/01/1982, 18060, null, 0, St Helena, 3
41, 29, CASA NUESTRA, PROD, 1000, 3420, null, 0, 5000, 5000, APPT, 30, 100, 5200, 225, 3, 5425, 7, 3, x, P06-01070, null, null, null, null, 09/01/1979, 09/01/1980, 3420, null, 0, St Helena, 3
42, 246, TURLEY WINE CELLARS, PROD, 1800, 13171, null, 0, 3000, 65000, APPT, 15, 75, 3900, 63, 9, 3963, 4, 12, x, 98211-MOD, null, null, null, null, 09/01/1981, 09/01/1985, 13171, null, 0, St Helena, 3
43, 249, VOLKER EISELE FAMILY ESTATE, PROD, 2400, 2400, null, 0, 5000, 20000, APPT, 0, 0, 0, 0, 0, 0, 0, 10, x, null, null, null, null, x, 01/24/1990, 09/24/1990, 2400, null, 0, Chiles Valley District, 3
44, 72, EL MOLINO WINERY, PROD, 2500, 5500, x, 0, 3000, 3000, NO, 0, 0, 0, 0, 0, 0, 2, 10, x, 94313-MOD, null, null, null, null, 07/01/1987, 09/01/1988, 5500, null, 0, Spring Mountain District, 3
45, 230, STONY HILL VINEYARD, PROD, 0, 0, null, 0, 8700, 8700, APPT, 0, 4, 208, 0, 0, 208, 6, 0, x, null, null, null, null, null, 09/01/1952, 09/01/1953, 0, null, 0, Spring Mountain District, 3
46, 98, ARNS WINERY, PROD, 800, 800, null, 0, 2000, 10000, TST APPT, 0, 0, 0, 0, 0, 0, 2, 3, x, null, null, null, null, x, 03/30/1988, 09/01/1990, 800, null, 0, Napa Valley, 3
47, 126, SABINA VINEYARDS, PROD, 400, 1600, null, 0, 1800, 8000, NO, 0, 0, 0, 0, 0, 0, 2, 9, x, 03213-MOD, null, null, null, null, 01/01/1984, 12/01/1984, 1600, null, 0, St Helena, 3
48, 183, RUSTRIDGE WINERY, PROD, 2000, 2000, null, 0, 5000, 5000, TST APPT, 0, 12, 624, 0, 0, 624, 2, 2, x, null, null, null, null, x, 01/01/1985, 12/01/1985, 2000, null, 0, Chiles Valley District, 3
49, 16, BARNETT VINEYARDS, PROD, 120, 1800, x, 3276, 20000, 20000, TST APPT, 0, 0, 0, 0, 0, 0, 2, 6, x, P14-00080-VMM, null, null, null, null, 09/01/1988, 12/01/1988, 5076, null, 0, Spring Mountain District, 3
50, 208, SMITH MADRONE VINEYARDS, PROD, 3200, 3200, null, 0, 18000, 18000, APPT, 0, 10, 520, 0, 0, 520, 4, 2, x, U-87374, null, null, null, null, 10/01/1973, 09/01/1977, 3200, null, 0, Spring Mountain District, 3
51, 71, EHLERS ESTATE WINERY, PROD, 4000, 11350, x, 11220, 13000, 25000, PUB, 0, 0, 300, 1105, 41, 1405, 8, 14, null, null, null, null, null, null, 11/20/1991, 09/01/1992, 22570, x, 25000, St Helena, 3
52, 134, METZGER VINEYARDS, UNKNWN, 670, 670, null, 0, 800, 800, NO, 0, 0, 0, 0, 0, 0, 0, 5, x, null, null, null, null, x, 09/01/1988, 09/01/1990, 670, null, 0, St Helena, 3
53, 290, BEHRENS FAMILY WINERY, PROD, 2000, 2000, null, 0, 10000, 10000, NO, 0, 0, 0, 0, 0, 0, 0, 3, null, 97433-UP, null, null, null, null, 06/03/1998, 09/01/2001, 2000, x, 10000, Spring Mountain District, 3
54, 175, RITCHIE CREEK VINEYARDS, PROD, 500, 500, null, 0, 1000, 5000, TST APPT, 0, 2, 104, 0, 0, 104, 1, 6, x, null, null, null, null, x, 08/01/1981, 12/01/1981, 500, null, 0, Spring Mountain District, 3
55, 52, SHERWIN FAMILY VINEYARDS, PROD, 4600, 5008, null, 0, 150, 6500, TST APPT, 8, 4, 208, 220, 9, 428, 2, 3, x, 02122-MOD, null, null, null, null, 09/01/1988, 09/01/1989, 5008, x, 5900, Spring Mountain District, 3
56, 89, GREEN & RED VINEYARD, PROD, 732, 2112, x, 2600, 960, 2560, APPT, 20, 10, 520, 24, 12, 544, 0, 4, x, null, null, null, null, null, 01/01/1987, 12/01/1987, 4712, x, 14000, Chiles Valley District, 3
57, 176, ROBERT KEENAN WINERY, PROD, 6890, 10006, null, 0, 50000, 50000, APPT, 35, 245, 12740, 1050, 21, 13790, 10, 6, x, P12-00438-MOD, null, null, null, null, 09/01/1974, 09/01/1977, 10006, null, 0, Spring Mountain District, 3
58, 67, DUCKHORN VINEYARDS, PROD, 6500, 32933, null, 0, 36000, 160000, PUB, 82, 626, 32552, 5175, 167, 37727, 42, 40, x, 98383-MOD, null, null, null, null, 08/04/1976, 09/01/1975, 32933, x, 110000, St Helena, 3
59, 79, TRINCHERO NAPA VALLEY, PROD, 3300, 35211, x, 2296, 10000, 100000, PUB, 0, 930, 48360, 1100, 11, 49460, 14, 42, x, P05-0329_MODMAJOR, null, null, null, null, 09/16/1981, 12/01/1981, 37507, x, 52000, St Helena, 3
60, 192, SCHWEIGER VINEYARDS, PROD, 3820, 15664, null, 0, 20000, 20000, APPT, 8, 48, 2496, 125, 3, 2621, 1, 12, null, P10-00068, null, null, null, null, 09/21/1994, 09/01/1995, 15664, x, 20000, Spring Mountain District, 3
61, 241, PHILIP VINEYARD, PROD, 5000, 5000, null, 0, 1000, 20000, TST APPT, 2, 10, 520, 0, 0, 520, 3, 3, x, null, null, null, null, x, 09/01/1983, 09/01/1985, 5000, null, 0, Spring Mountain District, 3
62, 87, GRACE FAMILY WINERY, PROD, 1500, 2660, null, 0, 3000, 7000, APPT, 10, 20, 1040, 0, 0, 1040, 1, 4, x, 96351-MOD, null, null, null, null, 12/03/1986, 09/01/1987, 2660, null, 0, St Helena, 3
63, 112, GUILLIAMS, PROD, 1486, 1486, null, 0, 700, 3000, TST APPT, 0, 2, 104, 0, 0, 104, 1, 6, x, null, null, null, null, x, 10/01/1982, 09/01/1984, 1486, null, 0, Spring Mountain District, 3
64, 14, BALLENTINE WINERY, PROD, 7400, 7400, null, 0, 50000, 50000, TST APPT, 0, 10, 520, 0, 0, 520, 4, 0, null, 96661-MOD, null, null, null, null, 12/08/1993, 09/01/1995, 7400, x, 50000, St Helena, 3
65, 7, AMIZETTA VINEYARDS, PROD, 2700, 2700, null, 0, 3750, 12000, TST APPT, 0, 0, 0, 0, 0, 0, 3, 5, x, null, null, null, null, x, 05/01/1984, 09/01/1985, 2700, null, 0, Napa Valley, 3
66, 130, MARKHAM WINERY, PROD, 34083, 73983, null, 0, 30000, 300000, PUB, 300, 400, 20800, 0, 0, 20800, 18, 37, x, 96075-MOD, null, null, null, null, 09/01/1874, 09/01/1978, 73983, null, 0, St Helena, 3
67, 63, DOMAINE CHARBAY WINERY, PROD, 7500, 7500, null, 0, 20000, 20000, TST APPT, 1, 7, 364, 0, 0, 364, 0, 1, x, null, null, null, null, x, 10/17/1980, 09/01/1993, 7500, null, 0, Spring Mountain District, 3
69, 276, LOKOYA, PROD, 16712, 16712, null, 0, 50000, 50000, APPT, 30, 70, 3640, 720, 24, 4360, 10, 18, x, null, null, null, null, null, 09/01/1965, 09/01/1970, 16712, x, 30000, Spring Mountain District, 3
71, 211, ST CLEMENT VINEYARDS, PROD, 3300, 6600, null, 0, 24000, 72000, PUB, 0, 490, 25480, 0, 0, 25480, 13, 16, x, 95653-UP, null, null, null, null, 11/09/1964, 09/01/1975, 6600, null, 0, St Helena, 3
72, 226, JOSEPH PHELPS VINEYARDS, PROD, 17000, 63134, null, 0, 420000, 420000, APPT, 200, 800, 41600, 0, 0, 41600, 68, 108, x, P13-00202, null, null, null, null, 09/19/1973, 09/01/1975, 63134, null, 0, St Helena, 3
73, 35, CHATEAU CHEVALIER WINERY, PROD, 3500, 3500, null, 0, 24500, 24500, APPT, 0, 0, 0, 0, 0, 0, 4, 10, x, null, null, null, null, null, 08/01/1973, 12/01/1973, 3500, null, 0, Spring Mountain District, 3
74, 9, EAGLES TRACE, PROD, 2700, 26099, null, 0, 20000, 40000, APPT, 15, 20, 1040, 360, 16, 1400, 6, 9, x, 009_00044-MOD, null, null, null, null, 02/01/1986, 06/01/1986, 26099, x, 20000, Napa Valley, 3
75, 22, BUEHLER VINEYARDS, PROD, 1800, 12187, null, 0, 9600, 50000, TST APPT, 0, 0, 0, 0, 0, 0, 2, 4, x, 00354-MOD, null, null, null, null, 05/17/1978, 09/01/1983, 12187, null, 0, Napa Valley, 3
76, 66, SPRING MOUNTAIN VINEYARDS #2, PROD, 8550, 8550, null, 0, 1000, 20000, TST APPT, 0, 10, 520, 0, 0, 520, 1, 10, x, SW-208889, null, null, null, x, 11/01/1988, 12/01/1990, 8550, null, 0, Spring Mountain District, 3
77, 233, STREBLOW WINERY, UNKNWN, 360, 360, null, 0, 2000, 25000, TST APPT, 0, 0, 0, 0, 0, 0, 1, 12, x, null, null, null, null, x, 09/01/1984, 09/01/1985, 360, null, 0, Spring Mountain District, 3
79, 195, SEAVEY VINEYARD, PROD, 2450, 12085, null, 0, 300, 20000, TST APPT, 15, 6, 312, 50, 1, 362, 2, 10, x, 98383-UP, null, null, null, null, 08/01/1988, 09/01/1989, 12085, null, 0, Napa Valley, 3
80, 76, MJA WINERY, PROD, 2650, 11921, x, 5511, 3300, 15000, APPT, 15, 75, 3900, 420, 14, 4320, 3, 9, x, P10-00123-MOD, null, null, null, null, 10/05/1988, 09/01/1989, 17432, x, 11700, Napa Valley, 3
81, 210, SPRING MOUNTAIN VINEYARDS, PROD, 14000, 14000, x, 19660, 15000, 48000, APPT, 0, 0, 0, 0, 0, 0, 6, 10, x, 99210-MOD, null, null, null, null, 09/01/1873, 09/01/1968, 33660, null, 0, Spring Mountain District, 3
82, 143, KENT RASSMUSSEN WINERY, PROD, 5500, 18554, null, 0, 40000, 100000, APPT, 48, 336, 17472, 2177, 64, 19649, 5, 14, x, P10-0028, null, null, null, null, 07/16/1980, 12/01/1980, 18554, x, 60000, St Helena, 3
83, 95, HEITZ WINE CELLARS, PROD, 10000, 20100, x, 30000, 90000, 144000, PUB, 30, 60, 3120, 5240, 52, 8360, 12, 23, x, 03499-MOD, null, null, null, null, 09/01/1898, 09/01/1961, 50100, x, 54000, St Helena, 3
84, 148, NICHELINI VINEYARDS, PROD, 0, 0, null, 0, 12000, 12000, PUB, 0, 100, 5200, 0, 0, 5200, 0, 0, x, null, null, null, null, null, 09/01/1890, 09/01/1920, 0, null, 0, Napa Valley, 3
86, 146, NEWTON VINEYARD, PROD, 12097, 19800, x, 14400, 18000, 130000, APPT, 60, 50, 2600, 0, 0, 2600, 8, 28, x, 97397-UP, null, null, null, null, 05/01/1979, 12/01/1979, 34200, null, 0, Spring Mountain District, 3
87, 24, CAIN CELLARS, PROD, 26220, 26220, null, 0, 59000, 59000, NO, 0, 0, 0, 0, 0, 0, 6, 12, x, 95546, null, null, null, null, 09/16/1981, 09/01/1982, 26220, null, 0, Spring Mountain District, 3
89, 102, THE TERRACES, PROD, 1964, 1964, null, 0, 20000, 20000, APPT, 2, 10, 520, 0, 0, 520, 2, 5, x, U-338788, null, null, null, null, 09/07/1988, 09/01/1989, 1964, null, 0, Rutherford, 3
90, 77, SLOAN WINERY, PROD, 1225, 3700, x, 5593, 1200, 15000, NO, 0, 0, 0, 0, 0, 0, 0, 1, null, 02166-MOD, null, null, null, null, 01/23/1991, 09/01/1991, 9293, x, 15000, Napa Valley, 3
91, 129, MARIO PERELLI MINETTI, PROD, 1500, 6400, null, 0, 10000, 20000, TST APPT, 0, 4, 208, 0, 0, 208, 2, 4, x, null, null, null, null, x, 11/01/1986, 09/01/1988, 6400, null, 0, Rutherford, 3
92, 186, RUTHERFORD HILL WINERY, PROD, 28800, 72522, x, 38100, 420000, 640000, PUB, 510, 0, 48000, 4955, 721, 52955, 46, 80, x, 98075-UP, null, null, null, null, 09/20/1971, 12/01/1976, 110622, x, 50000, Rutherford, 3
93, 123, LOUIS M MARTINI  WINERY, PROD, 105000, 153762, null, 0, 2000000, 2000000, PUB, 250, 1694, 88088, 1000, 4, 89088, 37, 109, x, P12-00202, null, null, null, null, 09/01/1922, 09/01/1923, 153762, null, 0, St Helena, 3
94, 238, THE RANCH WINERY, PROD, 79500, 242606, null, 0, 700000, 12520000, NO, 0, 15, 780, 2450, 33, 3230, 85, 95, x, P07-0016, null, null, null, null, 07/01/1984, 09/01/1985, 242606, null, 0, Rutherford, 3
95, 239, SUTTER HOME WINERY, PROD, 41000, 41000, null, 0, 200000, 200000, PUB, 0, 3500, 182000, 0, 0, 182000, 101, 76, null, null, null, null, null, null, 09/01/1946, 09/01/1946, 41000, null, 0, St Helena, 3
96, 166, PRAGER WINERY, PROD, 1940, 3352, null, 0, 4000, 8500, APPT, 6, 42, 2184, 0, 0, 2184, 4, 7, x, 99060-MOD, null, null, null, null, 09/01/1979, 09/01/1979, 3352, null, 0, St Helena, 3
97, 197, KELHAM WINERY, PROD, 1000, 16596, null, 0, 20000, 100000, APPT, 20, 140, 7280, 480, 6, 7760, 6, 10, x, P10-00177-UP, null, null, null, null, 09/17/1984, 09/01/1985, 16596, x, 100000, St Helena, 3
98, 70, HALL WINERY, PROD, 5228, 179787, null, 0, 2805000, 1260000, PUB, 500, 3500, 182000, 7380, 171, 189380, 36, 175, x, P11-00438-MOD, null, null, null, null, 09/01/1885, 09/01/1934, 179787, null, 0, St Helena, 3
99, 181, ROUND HILL CELLARS (RUTHERFORD RANCH), PROD, 28325, 29685, null, 0, 144000, 1000000, APPT, 0, 1500, 78000, 0, 0, 78000, 27, 25, x, null, null, null, null, null, 10/19/1983, 09/01/1987, 29685, null, 0, Rutherford, 3
100, 190, SATTUI WINERY, PROD, 4200, 37650, null, 0, 20000, 96000, PUB, 2625, 8544, 444288, 95400, 437, 539688, 59, 331, x, P05-0184-MOD, null, null, null, null, 02/01/1973, 09/01/1975, 37650, null, 0, St Helena, 3
101, 187, NEYERS VINEYARDS WINERY, PROD, 8000, 8000, x, 6800, 10000, 40000, NO, 0, 0, 0, 0, 0, 0, 0, 4, x, null, null, null, null, null, 10/06/1982, 09/01/1983, 14800, null, 0, Napa Valley, 3
102, 57, MIDSUMMER CELLARS, PEND, 551, 551, null, 0, 1000, 1000, APPT, 0, 0, 0, 0, 0, 0, 0, 2, x, U-298788, null, null, null, null, 06/01/1988, 12/01/1988, 551, null, 0, Rutherford, 3
103, 48, CONN CREEK WINERY, PROD, 10000, 30055, null, 0, 260000, 850000, PUB, 0, 500, 26000, 20520, 0, 46520, 15, 36, x, 96562-MOD, null, null, null, null, 05/16/1979, 09/01/1980, 30055, null, 0, Rutherford, 3
104, 261, VILLA HELENA, PROD, 1500, 5012, null, 0, 6000, 20000, NO, 15, 20, 1040, 70, 2, 1110, 1, 2, x, 99539-MOD, null, null, null, null, 10/01/1983, 09/01/1984, 5012, x, 14000, St Helena, 3
105, 171, RAYMOND VINEYARD & CELLAR, PROD, 49250, 125179, null, 0, 50000, 750000, PUB, 400, 2800, 145600, 9170, 493, 154770, 26, 81, x, P10-00093, null, null, null, null, 05/02/1984, 09/01/1985, 125179, x, 750000, Rutherford, 3
106, 135, DELECTUS (MILAT WINERY), PROD, 1280, 5340, null, 0, 20000, 20000, PUB, 20, 140, 7280, 0, 0, 7280, 1, 8, x, 02627-MOD, null, null, null, null, 02/04/1986, 09/01/1986, 5340, null, 0, St Helena, 3
107, 93, VILLA DEL LAGO, PROD, 0, 4877, x, 2500, 7200, 15000, APPT, 20, 30, 1560, 320, 6, 1880, 2, 10, x, 03383-MOD, null, null, null, null, 06/01/1988, 09/01/1993, 7377, x, 15000, Napa Valley, 3
108, 122, FLEURY FAMILY WINERY, PROD, 18576, 4230, null, 0, 20000, 20000, APPT, 0, 0, 1800, 0, 0, 1800, 0, 10, x, null, null, null, null, null, 05/01/1985, 12/01/1985, 4230, null, 0, Rutherford, 3
109, 105, SINEGAL ESTATE WINERY, PROD, 4400, 7025, x, 13200, 13200, 60000, PUB, 21, 120, 6240, 780, 56, 7020, 3, 8, x, P13-00261, null, null, null, null, 08/14/1982, 09/01/1983, 20225, x, 60000, St Helena, 3
110, 32, CHAPPELLET WINERY, PROD, 19636, 53136, null, 0, 59445, 150000, PUB, 40, 280, 14560, 585, 9, 15145, 24, 26, x, p11-00138, null, null, null, null, 09/01/1967, 09/01/1969, 53136, null, 0, Napa Valley, 3
111, 78, FLORA SPRINGS WINE CO, PROD, 3620, 23065, x, 13500, 3000, 120000, APPT, 65, 455, 23660, 0, 0, 23660, 8, 18, x, 99018-UP, null, null, null, null, 11/01/1978, 09/01/1979, 36565, null, 0, Rutherford, 3
112, 142, MUMM NAPA VALLEY, PROD, 136700, 140834, null, 0, 500000, 850000, PUB, 0, 2900, 150800, 4450, 137, 155250, 87, 91, x, P14-00168, null, null, null, null, 07/15/1987, 09/01/1988, 140834, x, 350000, Rutherford, 3
113, 234, SULLIVAN FAMILY ESTATE, PROD, 5000, 5894, null, 0, 22500, 22500, APPT, 0, 7, 364, 0, 0, 364, 6, 8, x, P09-00278, null, null, null, null, 01/01/1979, 09/01/1983, 5894, null, 0, Rutherford, 3
114, 269, WHITEHALL LANE WINERY, PROD, 7600, 34227, null, 0, 10000, 200000, PUB, 250, 600, 31200, 4800, 60, 36000, 7, 35, x, 99149-MOD, null, null, null, null, 09/20/1978, 09/01/1980, 34227, null, 0, Rutherford, 3
115, 81, FRANCISCAN WINERY, PROD, 52030, 118694, null, 0, 185000, 1200000, PUB, 500, 3500, 182000, 36040, 4612, 218040, 94, 156, x, 98559-MOD, null, null, null, null, 09/01/1973, 09/01/1973, 118694, null, 0, Rutherford, 3
116, 277, ZD WINES, PROD, 6600, 22956, null, 0, 25000, 70000, PUB, 50, 200, 10400, 60, 6, 10460, 10, 21, x, null, null, null, null, null, 08/01/1978, 09/01/1979, 22956, x, 20000, Rutherford, 3
117, 30, CAYMUS VINEYARDS, PROD, 24455, 43098, null, 0, 110000, 110000, PUB, 0, 180, 9360, 0, 0, 9360, 14, 40, x, null, null, null, null, null, 09/01/1971, 09/01/1971, 43098, null, 0, Rutherford, 3
118, 100, HONIG CELLARS, PROD, 2000, 33837, null, 0, 20000, 300000, APPT, 100, 700, 36400, 600, 8, 37000, 30, 12, x, null, null, null, null, null, 06/10/1982, 12/01/1982, 33837, x, 300000, Rutherford, 3
119, 84, FROGS LEAP WINERY, PROD, 23624, 38568, null, 0, 240000, 240000, APPT, 50, 350, 18200, 900, 36, 19100, 19, 38, null, P10-00157, null, null, null, null, 05/18/1994, 09/01/1996, 38568, x, 240000, Rutherford, 3
120, 118, DANA ESTATES, PROD, 5346, 8886, x, 19000, 20000, 20000, APPT, 6, 20, 1040, 240, 4, 1280, 4, 6, x, P07-00322, null, null, null, null, 10/01/1988, 09/01/1989, 27886, x, 10000, Rutherford, 3
121, 185, RUTHERFORD GROVE, PROD, 6200, 7900, null, 0, 35000, 35000, PUB, 20, 150, 7800, 0, 0, 7800, 2, 9, x, 94229-MOD, null, null, null, null, 10/01/1976, 09/01/1977, 7900, null, 0, Rutherford, 3
122, 168, ALPHA OMEGA WINERY, PROD, 6000, 17419, null, 0, 50000, 100000, PUB, 400, 0, 50800, 2800, 0, 53600, 22, 65, x, null, null, null, null, null, 07/24/1985, 09/01/1986, 17419, x, 94000, Rutherford, 3
123, 136, PROVENANCE VINEYARDS, PROD, 16000, 39925, null, 0, 85000, 180000, PUB, 25, 65, 3380, 3600, 36, 6980, 12, 36, x, P13-00246-VMM, null, null, null, null, 01/01/1987, 12/01/1987, 39925, x, 95000, Rutherford, 3
124, 161, PINA CELLARS, PROD, 3000, 3000, null, 0, 20000, 20000, APPT, 0, 30, 1560, 0, 0, 1560, 2, 6, x, U-427980, null, null, null, null, 05/21/1980, 09/01/1982, 3000, null, 0, Rutherford, 3
125, 54, DAVID ARTHUR VINEYARDS, PROD, 1400, 6900, x, 6500, 5500, 30000, APPT, 20, 35, 1820, 1377, 13, 3197, 4, 19, x, P09-00121-VMM, null, null, null, null, 10/01/1984, 09/01/1985, 13400, x, 30000, Napa Valley, 3
126, 90, GRGICH HILLS CELLARS, PROD, 5000, 46083, null, 0, 50000, 250000, APPT, 572, 4004, 208208, 20590, 385, 228798, 44, 59, x, P13-00423-MOD, null, null, null, null, 05/04/1977, 10/01/1977, 46083, x, 100000, Rutherford, 3
127, 152, MINER FAMILY WINERY, PROD, 17500, 19500, x, 22000, 120000, 300000, PUB, 0, 0, 68000, 1760, 70, 69760, 12, 35, x, 96089-MOD, null, null, null, null, 05/20/1987, 09/01/1996, 41500, x, 180000, Oakville, 3
128, 272, TRES SABORES, PROD, 2150, 2150, x, 780, 20000, 20000, APPT, 4, 4, 208, 0, 0, 208, 1, 3, x, 01157-MOD, null, null, null, null, 06/01/1988, 09/11/1991, 2930, null, 0, Rutherford, 3
129, 119, LONGMEADOW RANCH WINERY, PROD, 16500, 16500, x, 6100, 16000, 16000, PVT, 0, 0, 0, 144, 12, 144, 3, 6, null, 97394-MOD, null, null, null, null, 07/06/1994, 09/01/1996, 16500, x, 16000, Napa Valley, 3
130, 17, BEAULIEU VINEYARDS, PROD, 276250, 284940, null, 0, 1190000, 1800000, PUB, 450, 3150, 163800, 0, 0, 163800, 86, 165, x, null, null, null, null, null, 09/01/1903, 09/01/1903, 284940, null, 0, Rutherford, 3
131, 153, OAKVILLE RANCH, PROD, 2354, 2354, null, 0, 3000, 5000, TST APPT, 0, 3, 156, 0, 0, 156, 2, 10, x, null, null, null, null, x, 07/23/1985, 12/01/1985, 2354, null, 0, Oakville, 3
132, 103, NIEBAUM COPPOLA ESTATE HWY 29, PROD, 67771, 74879, x, 18400, 10000, 250000, PUB, 0, 3391, 176332, 0, 0, 176332, 78, 143, x, P07-00770, null, null, null, null, 09/01/1879, 09/01/1933, 93279, x, 240000, Rutherford, 3
133, 158, PEJU PROVINCE WINERY, PROD, 9431, 26866, null, 0, 60000, 120000, APPT, 0, 450, 23400, 480, 12, 23880, 16, 40, x, 040432MOD, null, null, null, null, 06/20/1984, 12/01/1984, 26866, x, 60000, Rutherford, 3
134, 212, ST SUPERY VINEYARDS & WINERY, PROD, 93750, 93750, null, 0, 450000, 450000, PUB, 0, 0, 0, 0, 0, 0, 20, 126, x, P11-00396, null, null, null, null, 09/03/1986, 09/01/1988, 93750, null, 0, Rutherford, 3
135, 53, DALLA VALLE VINEYARDS, PROD, 2500, 2849, null, 0, 5000, 20000, NO, 0, 0, 0, 0, 0, 0, 3, 8, x, P07-00553-MOD, null, null, null, null, 06/10/1985, 09/01/1988, 2849, null, 0, Oakville, 3
136, 260, PLUMP JACK WINERY, PROD, 7574, 7574, null, 0, 25000, 25000, PUB, 20, 140, 7280, 0, 0, 7280, 5, 30, x, null, null, null, null, null, 09/01/1973, 09/18/1981, 7574, null, 0, Oakville, 3
137, 85, RUDD ESTATE WINERY, PROD, 5000, 9488, x, 22000, 35000, 75000, APPT, 80, 250, 13000, 702, 33, 13702, 15, 10, x, 02361-MOD, null, null, null, null, 03/19/1980, 05/01/1980, 31488, x, 40000, Oakville, 3
138, 220, STAR VINEYARDS, UNKNWN, 2800, 2800, null, 0, 30000, 30000, APPT, 0, 20, 1040, 0, 0, 1040, 4, 8, x, null, null, null, null, null, 10/17/1984, 09/01/1985, 2800, null, 0, Rutherford, 3
139, 149, NIEBAUM COPPOLA ESTATE NIEBAUM LN, PROD, 9500, 30090, null, 0, 25000, 50000, APPT, 20, 15, 780, 1170, 41, 1950, 8, 25, x, 93486-UP, null, null, null, null, 08/16/1978, 12/01/1978, 30090, x, 50000, Rutherford, 3
140, 151, GROTH WINERY AND OAKCROSS VINEYARDSS, PROD, 7200, 49480, null, 0, 24000, 200000, APPT, 0, 180, 9360, 5400, 77, 14760, 24, 38, x, P12-00165, null, null, null, null, 05/21/1980, 09/01/1983, 49480, x, 100000, Oakville, 3
141, 282, FOLEY JOHNSON WINERY, PROD, 7000, 20616, null, 0, 10000, 20000, APPT, 50, 350, 18200, 1700, 56, 19900, 5, 15, null, 97138-X, null, null, null, null, 11/20/1996, 09/19/1999, 20616, x, 20000, Rutherford, 3
142, 196, SEQUOIA GROVE VINEYARDS, PROD, 5500, 27810, null, 0, 50000, 150000, PUB, 45, 600, 31200, 3100, 22, 34300, 28, 40, x, P07-00575, null, null, null, null, 02/07/1979, 09/01/1980, 27810, x, 100000, Rutherford, 3
143, 262, VILLA RAGAZZI, PROD, 916, 916, null, 0, 20000, 20000, TST APPT, 0, 0, 0, 0, 0, 0, 2, 4, x, null, null, null, null, x, 05/01/1982, 09/01/1984, 916, null, 0, Oakville, 3
144, 254, SADDLEBACK CELLARS, PROD, 2400, 4000, null, 0, 5000, 8000, APPT, 2, 14, 728, 0, 0, 728, 1, 3, x, U-428384-MOD, null, null, null, null, 03/21/1984, 09/01/1984, 4000, null, 0, Oakville, 3
145, 240, SWANSON VINEYARDS, PROD, 3984, 8480, null, 0, 4000, 42500, APPT, 20, 100, 5200, 0, 0, 5200, 4, 13, x, 03216-MOD, null, null, null, null, 01/05/1977, 09/01/1987, 8480, null, 0, Rutherford, 3
146, 194, SCREAMING EAGLE WINERY, PROD, 2750, 22333, x, 16000, 20000, 20000, TST APPT, 5, 15, 780, 0, 0, 780, 5, 10, x, P07-00782, null, null, null, null, 07/01/1988, 09/01/1989, 38333, null, 0, Oakville, 3
147, 264, VINE CLIFF WINERY, PROD, 4424, 7780, x, 15000, 10000, 48000, APPT, 0, 0, 400, 1916, 134, 2316, 8, 21, x, 98323-UP, null, null, null, null, 09/01/1988, 09/01/1989, 22780, x, 38000, Oakville, 4
148, 247, TURNBULL WINE CELLARS, PROD, 1500, 40543, null, 0, 2500, 250000, APPT, 350, 400, 20800, 1090, 22, 21890, 8, 21, x, 98327-MOD, null, null, null, null, 07/18/1979, 12/01/1979, 40543, x, 235000, Oakville, 3
149, 139, MOSS CREEK WINERY, PROD, 5300, 7600, x, 15500, 100000, 100000, PUB, 100, 600, 31200, 0, 0, 31200, 2, 49, x, 02040-MOD, null, null, null, null, 04/01/1987, 09/01/1987, 23100, null, 0, Napa Valley, 4
150, 202, SILVER OAK WINE CELLARS, PROD, 11000, 75000, null, 0, 18000, 210000, PUB, 500, 3000, 156000, 18280, 312, 174280, 50, 79, x, P10-00345, null, null, null, null, 06/01/1981, 12/01/1981, 75000, x, 162000, Oakville, 3
151, 155, OPUS ONE WINERY, PROD, 60000, 80000, null, 0, 82000, 110000, APPT, 200, 500, 26000, 0, 0, 26000, 35, 56, x, 02373-MOD, null, null, null, null, 01/01/1990, 09/07/1992, 80000, null, 0, Oakville, 3
