objectid, id, Name, Status, BldSz_Orig, BldSz_Curr, Has_Cave, CaveSize, Prod_Orig, Prod_Curr, Tour_Tastg, Visit_Day, Visit_Week, Visit_Yr, Visit_Mktg, Visit_NmEv, Visit_ALL, EmplyeeNum, ParkingNum, WDO, Last_UP, In_CityBdy, In_AIASP, Notes, SmlWnryExm, Apprv_date, Estab_date, Total_Size, Subj_to_75, GPY_at_75, AVA, SUP_dist
455, 523, PELOSI WINERY, APVD, 2100, 2100, x, 1000, 5000, 5000, APPT, 10, 8, 416, 50, 2, 466, 5, 2, null, P04-0499-UP, null, null, null, null, 08/17/2005, null, 3100, x, 5000, St Helena, 3
456, 524, GIRARD NAPA VALLEY, PEND, 39604, 39604, null, 0, 200000, 200000, APPT, 42, 294, 15288, 1600, 9, 16888, 25, 22, null, P14-00053, null, null, null, null, null, null, 39604, x, 200000, Calistoga, 3
457, 525, HUDSON VINEYARDS WINERY, PEND, 74425, 74425, x, 33042, 80000, 80000, APPT, 120, 840, 43680, 3516, 218, 47196, 24, 29, null, P14-00202, null, null, null, null, null, null, 107467, x, 80000, Los Carneros, 2
458, 526, MELKA WINERY, PEND, 6157, 6157, null, 0, 10000, 10000, APPT, 15, 36, 1872, 150, 2, 2022, 10, 5, null, P14-00208, null, null, null, null, null, null, 6157, x, 10000, St Helena, 3
459, 527, MAHONEY VINEYARDS, PEND, 9410, 9410, null, 0, 30000, 30000, APPT, 15, 105, 5460, 450, 12, 5910, 2, 14, null, P14-00242, null, null, null, null, null, null, 9410, x, 30000, Los Carneros, 1
460, 528, 3646 SMR VINEYARD, PEND, 11150, 11150, null, 0, 20000, 20000, APPT, 12, 70, 3640, 3220, 26, 6860, 10, 5, null, P14-00327, null, null, null, null, null, null, 11150, x, 20000, Spring Mountain District, 3
461, 529, TRUCHARD VINEYARDS WINERY, PEND, 47800, 47800, null, 0, 100000, 100000, APPT, 60, 210, 10920, 14400, 28, 25320, 6, 13, null, P14-00330, null, null, null, null, null, null, 47800, x, 100000, Los Carneros, 1
1662, 552, MORRIS FAMILY WINERY, PEND, 7770, 0, x, 6681, 20000, 20000, APPT, 0, 0, 0, 740, 22, 0, 4, 10, null, P15-00038, null, null, null, null, null, null, 0, x, 20000, Diamond Mountain District, 3
2062, 553, O'CONNELL FAMILY WINERY, PEND, 27280, 0, null, 0, 90000, 90000, APPT, 90, 630, 32850, 3000, 30, 35850, 24, 44, null, P15-00053, null, null, null, null, null, null, 27280, x, 90000, Oak Knoll District of Napa Valley, 3
2063, 554, SAM JASPER WINERY, PEND, 17093, 0, null, 0, 20000, 20000, APPT, 25, 160, 8320, 550, 23, 8870, 3, 17, null, P15-00077, null, null, null, null, null, null, 17093, x, 20000, Oak Knoll District of Napa Valley, 3
2863, 555, LEAF AND VINE, APVD, 3223, 3561, null, 0, 18500, 18500, APPT, 30, 135, 7020, 200, 6, 7220, 5, 45, null, P14-00403, null, x, null, null, 05/06/2015, null, 3561, null, 0, Napa Valley, 5
2864, 556, VOROS CELLARS, PEND, 2700, 0, x, 2000, 8000, 8000, APPT, 15, 105, 5460, 210, 5, 5670, 10, 6, null, P14-00405, null, null, null, null, null, null, 4700, x, 8000, Calistoga, 3
3263, 557, TENCH WINERY, PEND, 6635, 0, x, 6000, 42840, 42840, APPT, 14, 98, 5096, 100, 2, 5196, 10, 12, null, P15-00001  & P15-00002 VAR, null, null, null, null, null, null, 12635, x, 42840, Oakville, 3
3265, 558, CASTLEVALE WINERY, PEND, 0, 0, null, 0, 30000, 30000, null, 0, 0, 0, 0, 0, 0, 0, 0, null, null, null, null, null, null, null, null, 0, x, 30000, Chiles Valley District, 3
3266, 559, CHANTICLEER WINERY, PEND, 7978, 0, x, 8900, 10000, 10000, APPT, 10, 75, 3900, 300, 12, 4200, 3, 4, null, P14-00304 & P14-00305 VAR, null, null, null, null, null, null, 16878, x, 10000, Yountville, 3
3267, 560, SHED WINERY, PEND, 4170, 0, null, 0, 5000, 5000, APPT, 15, 105, 5460, 460, 14, 5920, 10, 5, null, P14-00346, null, null, null, null, null, null, 4170, x, 5000, Napa Valley, 4
3268, 561, 2490 LAKE COUNTY HWY WINERY, PEND, 9545, 0, x, 8623, 25000, 25000, APPT, 60, 245, 12740, 1000, 22, 13740, 14, 13, null, null, null, null, null, null, null, null, 0, x, 25000, Calistoga, 3
3269, 562, SAWYER CELLARS, PEND, 3743, 0, null, 0, 10000, 10000, TST APPT, 8, 56, 2912, 400, 11, 3312, 2, 0, null, P14-00353, null, x, null, null, null, null, 3743, null, 0, Napa Valley, 5
3663, 563, BEAUTIFUL DAY WINERY, PEND, 23619, 23619, null, 0, 30000, 30000, APPT, 75, 350, 18200, 2300, 53, 20500, 10, 15, null, P15-00202, null, null, null, null, null, null, 23619, x, 30000, Calistoga, 3
4063, 564, PAUL HOBBS WINERY, PEND, 17625, 0, null, 0, 60000, 0, APPT, 30, 210, 10920, 400, 4, 11320, 10, 12, null, P15-00128, null, null, null, null, null, null, 17625, x, 60000, Coombsville, 5
68, 33, CHARLES KRUG WINERY, null, 0, 0, null, 0, 0, 0, null, 0, 0, 0, 0, 0, 0, 0, 0, null, null, x, null, Check with City for info, null, null, null, 0, null, 0, null, null
70, 80, FORMAN VINEYARD, null, 0, 0, null, 0, 0, 0, null, 0, 0, 0, 0, 0, 0, 0, 0, null, null, x, null, Check with City for info, null, null, null, 0, null, 0, null, null
78, 19, BERINGER VINEYARDS, null, 0, 0, null, 0, 0, 0, null, 0, 0, 0, 0, 0, 0, 0, 0, null, null, x, null, Check with City for info, null, null, null, 0, null, 0, null, null
85, 236, MERRYVALE VINEYARDS, null, 0, 0, null, 0, 0, 0, null, 0, 0, 0, 0, 0, 0, 0, 0, null, null, x, null, Check with City for info, null, null, null, 0, null, 0, null, null
88, 237, SUTTER HOME WINERY, null, 0, 0, null, 0, 0, 0, null, 0, 0, 0, 0, 0, 0, 0, 0, null, null, x, null, Check with City for info, null, null, null, 0, null, 0, null, null
242, 209, SPOTTSWOODE WINERY, null, 0, 0, null, 0, 0, 0, null, 0, 0, 0, 0, 0, 0, 0, 0, null, null, x, null, Check with City for info, null, null, null, 0, null, 0, null, null
462, 530, LAVA VINE, null, 0, 0, null, 0, 0, 0, null, 0, 0, 0, 0, 0, 0, 0, 0, null, null, x, null, Check with City for info, null, null, null, 0, null, 0, null, null
463, 531, T-VINE CELLARS, null, 0, 0, null, 0, 0, 0, null, 0, 0, 0, 0, 0, 0, 0, 0, null, null, x, null, Check with City for info, null, null, null, 0, null, 0, null, null
464, 532, ARROYO WINERY #2, null, 0, 0, null, 0, 0, 0, null, 0, 0, 0, 0, 0, 0, 0, 0, null, null, x, null, Check with City for info, null, null, null, 0, null, 0, null, null
862, 533, AUBERT WINERY, null, 0, 0, null, 0, 0, 0, null, 0, 0, 0, 0, 0, 0, 0, 0, null, null, x, null, Check with City for info, null, null, null, 0, null, 0, null, null
863, 534, TEDESCHI WINERY, null, 0, 0, null, 0, 0, 0, null, 0, 0, 0, 0, 0, 0, 0, 0, null, null, x, null, Check with City for info, null, null, null, 0, null, 0, null, null
864, 535, BRIAN ARDEN, null, 0, 0, null, 0, 0, 0, null, 0, 0, 0, 0, 0, 0, 0, 0, null, null, x, null, Check with City for info, null, null, null, 0, null, 0, null, null
1262, 536, BRAGG VINEYARDS, null, 0, 0, null, 0, 0, 0, null, 0, 0, 0, 0, 0, 0, 0, 0, null, null, x, null, Check with City for info, null, null, null, 0, null, 0, null, null
1263, 537, VAROZZA, null, 0, 0, null, 0, 0, 0, null, 0, 0, 0, 0, 0, 0, 0, 0, null, null, x, null, Check with City for info, null, null, null, 0, null, 0, null, null
1264, 538, FULTON WINERY, null, 0, 0, null, 0, 0, 0, null, 0, 0, 0, 0, 0, 0, 0, 0, null, null, x, null, Check with City for info, null, null, null, 0, null, 0, null, null
1265, 539, ANOMALY, null, 0, 0, null, 0, 0, 0, null, 0, 0, 0, 0, 0, 0, 0, 0, null, null, x, null, Check with City for info, null, null, null, 0, null, 0, null, null
1266, 540, SULPHUR SPRINGS WINERY, null, 0, 0, null, 0, 0, 0, null, 0, 0, 0, 0, 0, 0, 0, 0, null, null, x, null, Check with City for info, null, null, null, 0, null, 0, null, null
1267, 541, SALVESTRIN WINERY, null, 0, 0, null, 0, 0, 0, null, 0, 0, 0, 0, 0, 0, 0, 0, null, null, x, null, Check with City for info, null, null, null, 0, null, 0, null, null
1268, 542, REID FAMILY VINEYARDS, null, 0, 0, null, 0, 0, 0, null, 0, 0, 0, 0, 0, 0, 0, 0, null, null, x, null, Check with City for info, null, null, null, 0, null, 0, null, null
1269, 543, BRYSON ESTATE VINEYARD, null, 0, 0, null, 0, 0, 0, null, 0, 0, 0, 0, 0, 0, 0, 0, null, null, x, null, Check with City for info, null, null, null, 0, null, 0, null, null
1271, 544, ST. CLAIR-BROWN WINERY, null, 0, 0, null, 0, 0, 0, null, 0, 0, 0, 0, 0, 0, 0, 0, null, null, x, null, Check with City for info, null, null, null, 0, null, 0, null, null
1272, 545, STARMONT (MERRYVALE), null, 0, 0, null, 0, 0, 0, null, 0, 0, 0, 0, 0, 0, 0, 0, null, null, x, null, Check with City for info, null, null, null, 0, null, 0, null, null
1273, 546, SONOMA WINE COMPANY, null, 0, 0, null, 0, 0, 0, null, 0, 0, 0, 0, 0, 0, 0, 0, null, null, x, null, Check with City for info, null, null, null, 0, null, 0, null, null
1274, 547, HESS COLLECTION WINERY, null, 0, 0, null, 0, 0, 0, null, 0, 0, 0, 0, 0, 0, 0, 0, null, null, x, null, Check with City for info, null, null, null, 0, null, 0, null, null
1275, 548, SAINT HELENA WINERY, null, 0, 0, null, 0, 0, 0, null, 0, 0, 0, 0, 0, 0, 0, 0, null, null, x, null, Check with City for info, null, null, null, 0, null, 0, null, null
1276, 549, DAVIES FAMILY WINERY, null, 0, 0, null, 0, 0, 0, null, 0, 0, 0, 0, 0, 0, 0, 0, null, null, x, null, Check with City for info, null, null, null, 0, null, 0, null, null
1277, 550, FALCOR WINERY, null, 0, 0, null, 0, 0, 0, null, 0, 0, 0, 0, 0, 0, 0, 0, null, null, x, null, Check with City for info, null, null, null, 0, null, 0, null, null
1278, 551, SPELLETICH FAMILY WINE CO., null, 0, 0, null, 0, 0, 0, null, 0, 0, 0, 0, 0, 0, 0, 0, null, null, x, null, Check with City for info, null, null, null, 0, null, 0, null, null
